iter	Passed	Remaining
345	66213	125154
346	66375	124908
347	66557	124698
348	66728	124471
349	66918	124277
350	67089	124047
351	67260	123819
352	67426	123583
353	67613	123384
354	67785	123159
355	67993	122999
356	68166	122775
357	68269	122427
358	68440	122200
359	68612	121977
360	68789	121762
361	68993	121596
362	69202	121438
363	69360	121190
364	69561	121018
365	69728	120786
366	69886	120539
367	70052	120307
368	70245	120122
369	70411	119889
370	70469	119475
371	70635	119245
372	70805	119021
373	70972	118792
374	71141	118568
375	71342	118397
376	71505	118164
377	71675	117942
378	71841	117714
379	72016	117500
380	72177	117265
381	72371	117082
382	72545	116868
383	72717	116651
384	72879	116418
385	73047	116195
386	73209	115962
387	73412	115795
388	73593	115593
389	73758	115365
390	73926	115143
391	74097	114926
392	74266	114706
393	74485	114563
394	74759	114504
395	75011	114411
396	75199	114219
397	75410	114063
398	75637	113929
399	75862	113793
400	76081	113647
401	76292	113489
402	76482	113300
403	76705	113159
404	76897	112972
405	77084	112778
406	77271	112584
407	77459	112392
408	77651	112205
409	77866	112051
410	78079	111895
411	78256	111685
412	78461	111517
413	78637	111308
414	78848	111148
415	79028	110944
416	79211	110743
417	79401	110553
418	79598	110373
419	79778	110169
420	79978	109994
421	80141	109766
422	80306	109543
423	80489	109343
424	80666	109136
425	80848	108936
426	81050	108763
427	81235	108566
428	81444	108402
429	81642	108223
430	81816	108013
431	81994	107807
432	82187	107622
433	82359	107409
434	82545	107213
435	82737	107026
436	82944	106860
437	83202	106757
438	83409	106589
439	83591	106389
440	83770	106185
441	83966	106003
442	84193	105859
443	84442	105743
444	84608	105523
445	84780	105310
446	84956	105102
447	85144	104910
448	85314	104695
449	85530	104536
450	85708	104333
451	85880	104120
452	86146	104022
453	86370	103872
454	86830	104005
455	87141	103957
456	87636	104127
457	88090	104247
458	88580	104405
459	88903	104364
460	89381	104504
461	89739	104502
462	90005	104390
463	90340	104358
464	90677	104327
465	90894	104157
466	91176	104062
467	91575	104098
468	91818	103956
469	92068	103821
470	92322	103691
471	92571	103554
472	92792	103385
473	92991	103192
474	93197	103007
475	93416	102836
476	93672	102705
477	93869	102510
478	94081	102330
479	94274	102130
480	94473	101937
481	94693	101765
482	94929	101612
483	95121	101410
484	95335	101232
485	95522	101025
486	95732	100842
487	95957	100676
488	96167	100493
489	96401	100335
490	96631	100174
491	96850	100000
492	97082	99839
493	97275	99638
494	97493	99462
495	97706	99282
496	97958	99140
497	98226	99015
498	98452	98846
499	98676	98676
500	98872	98477
501	99065	98276
502	99278	98094
503	99512	97932
504	99721	97746
505	99921	97551
506	100147	97381
507	100350	97190
508	100587	97030
509	100876	96920
510	101107	96754
511	101353	96602
512	101668	96515
513	101861	96312
514	102056	96111
515	102271	95929
516	102471	95732
517	102662	95527
518	102909	95374
519	103151	95216
520	103337	95006
521	103519	94793
522	103705	94584
523	103918	94399
524	104118	94202
525	104317	94005
526	104504	93796
527	104693	93589
528	104912	93410
529	105155	93250
530	105341	93041
531	105541	92844
532	105720	92629
533	105907	92421
534	106126	92241
535	106320	92038
536	106595	91906
537	106916	91813
538	107262	91740
539	107478	91555
540	107694	91370
541	107907	91184
542	108141	91014
543	108439	90898
544	108670	90724
545	108992	90627
546	109273	90495
547	109559	90366
548	109771	90176
549	109982	89985
550	110192	89794
551	110384	89587
552	110617	89414
553	110829	89223
554	111034	89027
555	111157	88766
556	111352	88562
557	111555	88364
558	111802	88201
559	111991	87993
560	112227	87821
561	112411	87608
562	112606	87404
563	112874	87257
564	113067	87051
565	113286	86866
566	113485	86665
567	113715	86487
568	113783	86187
569	114418	86315
570	114635	86127
571	114836	85926
572	115024	85716
573	115253	85536
574	115471	85348
575	115678	85152
576	115787	84883
577	115971	84670
578	116160	84461
579	116342	84248
580	116529	84037
581	116740	83844
582	116806	83547
583	116988	83334
584	117189	83134
585	117427	82960
586	117676	82794
587	117906	82614
588	118115	82419
589	118302	82210
590	118479	81993
591	118675	81789
592	118950	81640
593	119215	81483
594	119406	81276
595	119599	81070
596	119790	80863
597	120032	80690
598	120248	80500
599	120511	80340
600	120723	80147
601	120930	79950
602	121187	79786
603	121387	79585
604	121425	79277
605	121609	79066
606	121807	78863
607	122003	78660
608	122179	78443
609	122413	78264
610	122597	78053
611	122776	77838
612	122962	77629
613	123168	77431
614	123392	77245
615	123609	77055
616	123802	76849
617	124011	76654
618	124216	76456
619	124412	76252
620	124657	76079
621	124851	75874
622	125048	75671
623	125240	75465
624	125428	75257
625	125676	75084
626	125861	74874
627	126065	74675
628	126252	74466
629	126442	74259
630	126624	74048
631	126878	73878
632	126935	73594
633	127150	73402
634	127359	73206
635	127566	73009
636	127772	72812
637	128038	72648
638	128224	72439
639	128411	72231
640	128598	72023
641	128638	71733
642	128850	71538
643	129114	71373
644	129305	71167
645	129487	70957
646	129670	70747
647	129847	70534
648	129877	70242
649	130057	70030
650	130290	69848
651	130320	69557
652	130346	69265
653	130522	69053
654	130699	68841
655	130871	68627
656	131045	68415
657	131215	68200
658	131439	68013
659	131622	67805
660	131800	67594
661	131985	67388
662	132164	67178
663	132209	66901
664	132390	66692
665	132630	66514
666	132815	66308
667	132994	66098
668	133020	65814
669	133046	65530
670	133228	65323
671	133395	65109
672	133610	64919
673	133809	64721
674	133987	64512
675	134161	64302
676	134351	64099
677	134531	63892
678	134592	63629
679	134619	63350
680	134872	63178
681	134900	62900
682	135086	62697
683	135377	62542
684	135557	62336
685	135591	62063
686	135824	61882
687	135946	61650
688	136128	61445
689	136322	61246
690	136503	61041
691	136563	60782
692	136867	60632
693	137126	60462
694	137316	60261
695	137497	60056
696	137525	59785
697	137706	59580
698	137883	59374
699	137927	59111
700	137954	58842
701	138175	58655
702	138403	58472
703	138583	58267
704	138787	58074
705	138989	57879
706	139177	57678
707	139207	57413
708	139450	57235
709	139642	57037
710	139846	56843
711	140038	56644
712	140220	56442
713	140395	56236
714	140563	56028
715	140738	55823
716	140934	55627
717	141125	55427
718	141320	55230
719	141499	55027
720	141755	54854
721	141954	54658
722	142177	54471
723	142392	54282
724	142608	54092
725	142863	53918
726	142945	53678
727	143159	53488
728	143334	53283
729	143502	53076
730	143674	52870
731	143860	52670
732	144119	52496
733	144306	52296
734	144511	52102
735	144578	51859
736	144770	51661
737	144950	51459
738	145160	51267
739	145370	51075
740	145540	50870
741	145711	50665
742	145890	50462
743	146068	50260
744	146277	50068
745	146482	49874
746	146657	49671
747	146834	49468
748	147002	49262
749	147174	49058
750	147382	48865
751	147595	48675
752	147766	48470
753	147934	48264
754	148109	48062
755	148282	47858
756	148472	47660
757	148695	47472
758	148877	47272
759	149049	47068
760	149243	46871
761	149418	46668
762	149602	46468
763	149824	46280
764	149990	46075
765	150173	45875
766	150354	45674
767	150521	45470
768	150741	45281
769	151009	45106
770	151177	44902
771	151349	44698
772	151527	44497
773	151701	44295
774	151898	44099
775	152098	43904
776	152269	43701
777	152444	43499
778	152614	43296
779	152790	43094
780	152984	42898
781	153120	42685
782	153291	42483
783	153462	42280
784	153641	42080
785	153829	41882
786	154023	41686
787	154272	41504
788	154469	41309
789	154657	41111
790	154842	40912
791	155024	40713
792	155258	40527
793	155441	40328
794	155633	40131
795	155816	39932
796	155994	39732
797	156227	39546
798	156519	39374
799	156741	39185
800	156949	38992
801	157154	38798
802	157185	38562
803	157374	38364
804	157613	38179
805	157810	37984
806	157992	37785
807	158186	37588
808	158255	37363
809	158442	37165
810	158671	36977
811	158892	36787
812	159057	36585
813	159229	36384
814	159403	36183
815	159590	35986
816	159803	35794
817	160109	35623
818	160367	35441
819	160538	35240
820	160706	35038
821	160875	34836
822	161148	34657
823	161321	34456
824	161551	34268
825	161814	34086
826	162008	33890
827	162292	33712
828	162472	33513
829	162656	33315
830	162826	33113
831	162989	32911
832	163178	32713
833	163204	32484
834	163453	32299
835	163629	32099
836	163816	31902
837	163974	31699
838	164037	31478
839	164289	31293
840	164344	31071
841	164603	30887
842	164818	30695
843	165010	30499
844	165198	30302
845	165389	30106
846	165574	29908
847	165829	29724
848	165875	29501
849	166030	29299
850	166054	29074
851	166248	28878
852	166452	28685
853	166484	28462
854	166744	28278
855	166978	28089
856	167171	27894
857	167264	27682
858	167432	27483
859	167615	27286
860	167840	27096
861	168090	26910
862	168426	26737
863	168611	26540
864	168828	26349
865	169070	26160
866	169338	25976
867	169519	25779
868	169744	25588
869	169943	25393
870	170158	25201
871	170405	25013
872	170664	24827
873	170919	24640
874	171169	24452
875	171424	24265
876	171547	24059
877	171781	23869
878	172011	23678
879	172215	23483
880	172403	23287
881	172653	23098
882	172863	22904
883	172937	22693
884	173123	22496
885	173333	22302
886	173522	22106
887	173745	21913
888	173993	21724
889	174178	21527
890	174359	21330
891	174539	21132
892	174729	20936
893	174759	20720
894	175024	20533
895	175072	20320
896	175262	20124
897	175461	19929
898	175664	19735
899	175878	19542
900	176116	19351
901	176308	19155
902	176486	18958
903	176663	18760
904	176835	18562
905	177004	18364
906	177029	18151
907	177269	17961
908	177440	17763
909	177610	17565
910	177788	17369
911	177968	17172
912	178011	16962
913	178187	16765
914	178426	16575
915	178603	16378
916	178773	16181
917	178946	15984
918	179119	15787
919	179288	15590
920	179508	15397
921	179740	15205
922	179914	15009
923	180086	14812
924	180255	14615
925	180354	14412
926	180530	14216
927	180796	14027
928	180990	13832
929	181226	13640
930	181418	13445
931	181615	13250
932	181881	13061
933	182064	12865
934	182226	12668
935	182385	12470
936	182551	12274
937	182711	12076
938	182929	11883
939	183263	11697
940	183456	11502
941	183626	11306
942	183797	11109
943	183959	10912
944	184142	10717
945	184371	10524
946	184538	10327
947	184704	10131
948	184874	9935
949	185052	9739
950	185145	9539
951	185168	9336
952	185338	9140
953	185602	8949
954	185795	8754
955	185971	8559
956	186033	8358
957	186073	8157
958	186274	7963
959	186455	7768
960	186635	7574
961	186831	7380
962	187016	7185
963	187199	6990
964	187226	6790
965	187409	6596
966	187596	6401
967	187858	6210
968	188074	6016
969	188250	5822
970	188320	5624
971	188509	5430
972	188696	5236
973	188937	5043
974	189176	4850
975	189383	4656
976	189570	4462
977	189740	4268
978	189935	4074
979	190185	3881
980	190233	3684
981	190407	3490
982	190587	3296
983	190626	3099
984	190794	2905
985	190977	2711
986	191829	2526
987	192050	2332
988	192218	2137
989	192379	1943
990	192547	1748
991	192744	1554
992	192806	1359
993	193044	1165
994	193227	970
995	193391	776
996	193568	582
997	193739	388
998	193776	193
999	193961	0
